Tipo_NL,Año_de_emergencia 
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio nacional ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Laboratorio universitario ,s/f
Redes universitarias ,s/f
InnovaUNAM,s/f
InnovaUNAM,s/f
Unidades informáticas ,s/f
Unidades informáticas ,s/f
Unidades informáticas ,s/f
Laboratorio universitario ,s/f
Unidades informáticas ,s/f
InnovaUNAM,s/f
InnovaUNAM,s/f
InnovaUNAM,s/f
InnovaUNAM,s/f
InnovaUNAM,s/f
InnovaUNAM,s/f
InnovaUNAM,s/f
InnovaUNAM,s/f
Laboratorio universitario ,s/f
InnovaUNAM,s/f
